playlist_id,playlist_name,total_followers_16_5,current_total_followers,raw_growth,followers,reason,date,created_at
146,"Sleep Techno | Deep Minimal Techno, Hypnotic Beats, Night Focus & Calm Energy 2026 🌌🖤",0,61,61,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
162,EHRENLOSE REMIXES 2026 🔥 KRASSE BASS REMIXES ⚡️ TIKTOK HITS,0,2149,2149,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
163,WALGESÄNGE 2026 🌊 SANFTE KLÄNGE 🐋 MEERESRUHE,0,253,253,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
166,RELAXING DRUMMING MEDITATION 2026 🥁 CALM VIBES 🌿 HEALING RHYTHMS,0,194,194,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
168,PEACEFUL JAPANESE SLEEP MUSIC 😴 KOTO LULLABIES | SERENE VIBES,0,107,107,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
497,"Bassline Bangers ⚡ | UK Bassline, Club Hits, Heavy Bass, Speed Garage, Party Anthems 🔊",0,96,96,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
170,CLÁSICOS REMIXADOS 2026 🎶 FIESTA RETRO 🌟 VERSIONES ELECTRÓNICAS ICÓNICAS,0,146,146,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
173,BEST CAR MUSIC 2026 🚗 BASS BOOSTED 🔥 CAR DROPS,0,143,143,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
174,AGGRESSIVE BASS DROPS 140-150 BPM 2026 🔊 EDM FESTIVAL BANGERS,0,61,61,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
175,BANHO RELAXANTE 2026 🛁 MÚSICA SUAVE 🌿 RELAX TOTAL,0,84,84,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
498,ZUMBA BEATS 140-150 BPM 2026 💃 ZUMBA WORKOUT 🔥 FITNESS DANCE MIX,0,182,182,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
178,ZEN BUDDHISM MEDITATION 2026 🧘‍♂️ INNER PEACE 🌿 CALM FOCUS      ,0,314,314,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
179,YOGA INSTRUMENTAL MUSIC 2026 🌸 CHILL VIBES 🌿 RELAXING FLOW,0,336,336,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
180,RESTAURANT MUSIC 2026 🍷 SOFT POP 🌟 RELAXING HITS,0,123,123,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
181,PILATES & CHILL 2026 ✨ PILATES FLOW 🌿 CHILL BEATS,0,380,380,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
182,MORNING SONGS 2026 ☀️ COFFEE PLAYLIST ☕️ CHILL MORNING VIBES,0,128,128,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
183,JUMP ROPE 150 BPM 2026 ⏱️ CARDIO BEATS 🔥 WORKOUT HITS,0,415,415,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
184,INDOOR Spinning & Outdoor CYCLING  160 BPM 2026 🚲 SPIN WORKOUT ⚡️ CYCLING HITS,0,179,179,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
186,EXERCISE SONGS 130-150 BPM 2026 💦 CARDIO WORKOUT 💪 GYM MOTIVATION,0,211,211,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
187,CHANSONS POUR LES ENFANTS 2026 🇫🇷 🎵 TUNES AMUSANTES 🎵 FRENCH KIDS SONGS 2026 🇫🇷 ,0,181,181,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
189,BALANCE CHAKRAS WHILE SLEEPING ✨ HEALING FREQUENCIES 🕉️ AURA CLEANSING,0,81,81,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
190,ASTRAL PROJECTION 2026 ✨ OUT OF BODY 🌌 BINAURAL BEATS,0,232,232,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
191,WINTER SLEEP MUSIC 2026 ❄️ COZY NIGHTS 🌙 DEEP RELAXATION,0,89,89,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
94,Circuit Training — Power & Adrenaline Mix 🔄🔥,0,77,77,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
188,BEST INSTA STORY SONGS 2026 📱 TIKTOK VIRAL 🔥 TOP TRACKS,0,242,242,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
95,Rowing Training — Stamina & Power Tracks 🚣🔥,0,23,23,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
96,Powerlifting Training — Power & Strain Mix 🖤🔥,0,2,2,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
378,"AFRICAN ROOTS 🌍🔥 | Jamaica, South Africa & Nigeria | Shell Down | Badman Riddim | Yard Vibes 🇯🇲🇿🇦🇳🇬",0,69,69,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
379,AFRICA BEATS 2026 🇿🇦🇳🇬 | Amapiano South Africa & Nigeria 🔥 | Dancehall & Afrobeats,0,102,102,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
383,Boxing Training — Beast Mode Power Mix 🥊🔥,0,36,36,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
384,Cycling Training — No Excuses Pump Up 🚴‍♂️🔥,0,46,46,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
192,TRIBAL BEATS 2026 | SHAMAN DRUMS 🌿 NATIVE FLUTES,0,145,145,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
194,TOP UK GARAGE 2026 ⚡ SPEED GARAGE 🎶 BASSLINE & UKG,0,80,80,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
195,FREAKY Bedroom jams 🥵😈💦 Freaky Playlist • Naughty Music 😏👅💦,0,66,66,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
103,EXKLUSIVE Luxus Restaurant Musik 🥂 | Dinner Playlist | Hintergrundmusik | Elegante Stimmung,0,26,26,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
196,POP CHILL 2026 🕯 RELAXING HITS 🌿 CHILL POP SONGS,0,190,190,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
197,ANGELIC Cover Songs ✨ | Soft Versions of Popular Hits,0,31,31,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
201,ADHD SLEEP MUSIC 2026 💤 CALMING SOUNDS 🌙 SLEEP THERAPY,0,97,97,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
202,TOP CARDIO FUSION 140 BPM 2026 💦 WORKOUT BEATS ⚡ BEST AEROBICS PLAYLIST,0,56,56,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
147,"ADHD Techno | Hyperfocus Beats, Driving Techno, Deep Focus Energy 2026 🧠⚡",0,273,273,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
150,"Beatport Top 100 | Tech House Charts, Club Anthems, Underground DJ Hits 2026 🎧🔥",0,72,72,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
410,"Dreamy Vibes 2026 | Ethnic House, Melodic Techno, Minimal Techno, Chill Piano 🌙✨",0,25,25,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
411,"Best Dub Techno Ever | Deep Dub Techno, Atmospheric Techno, Minimal & Hypnotic Beats 2026 🌫️🔊",0,38,38,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
413,"Techno Mix 2026 | Rave Techno Remixes, Hard Techno, Peak-Time Energy for Party, Gym & Driving ⚡🔥",0,70,70,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
419,"Indoor Cycling 150 BPM 2026 | Spin Class Music, High Energy Cardio & Bike Workout 🚲🔥",0,48,48,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
424,"Gym Temazos 2026 | Éxitos Energéticos, Motivación & Canciones para Cardio 🔥💥",0,310,310,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
425,"Gym Bangers 2026 | Hard Workout Hits, High Energy & Training Motivation 🔥💥",0,207,207,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
164,THETA WAVES 2026 ✨ BINAURAL BEATS 🌌 MEDITATION FREQUENCIES,0,166,166,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
112,POTENTE Corsa 150–160 BPM 🔥 Musica Running 150–160 BPM | Playlist Tempo Run | Cardio,0,190,190,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
51,BODRUM Beach Lifestyle ☀️ | Mediterranean Sun Vibes,0,9,9,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
1,CRAZY Viral Mashups 2026 ðŸ”¥ â€“ TikTok & Instagram Trending Audio,0,16,16,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
3,AMAZING Viral Remix Mashups 2026 🔥 – Social Media Party Hits,0,21,21,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
15,GOATED Viral Mashups 2026 🔥 – FYP Remix & Trending Sounds,0,21,21,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
16,"INSANE Mashup Songs 2026 🔥 – Viral Audio, Remix Drops & Edit Mix",0,31,31,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
17,"HYPER TikTok Mashups 2026 🔥 – Sped Up, Slow Reverb & Viral Edits",0,0,0,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
455,HIIT Training 2026 | High-Intensity Workout & Cardio Beats 🔥💪,0,83,83,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
63,100% Drip Rooftop Party 🥂 | Champagne & Sunset Flex,0,1,1,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
169,DEEP SLEEP FREQUENCIES 9 CHAKRAS 🌙 ENERGY HEALING 🕉️ CALM REST,0,91,91,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
69,INTIMATE Summer Romance 💛 | Summer Aesthetic Vibes,0,13,13,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
159,AI COVERS OF FAMOUS SONGS 2026 | AI REMIX | VIRAL AI MUSIC | POPULAR HITS REIMAGINED,0,520,520,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
54,"E11EVEN, Omnia & Pacha Vibes | EPIC Global Club Anthems 🔥",0,9,9,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
55,ICONIC Bondi Beach Summer Party Vibes 🇦🇺 | #Australia Energy,0,9,9,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
90,Adrenaline Rush Workout 2026 | High-Intensity Training Beats ⚡🔥,0,72,72,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
60,ROSÉ All Day 🍷 | ICONIC Party All Night #SummerVibes,0,4,4,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
72,GOLDEN Summer Sunset Vibes 🌅 | Beach Bonfire Nights,0,25,25,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
43,Most Beautiful Orchestra Pieces 🎻 | Classical Masterpieces & Epic Scores ,0,92,92,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
441,"Hype Classical Study Music  | High Energy Orchestra, Epic Instrumental Focus, Study Beats 2026 ",0,154,154,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
442,"Deep Melodic House Vibes  | Melodic House & Techno, Deep House, Afterhours, Night Drive",0,90,90,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
44,"Chill Soul Vibes 🥂 | Smooth Soul, Neo Soul & Chill R&B ",0,123,123,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
45,"Aura Songs  | Dark Pop, Mysterious Vibes, Aesthetic Energy",0,42,42,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
46,"Sad Girl Country  | Emotional Country Songs, Heartbreak Anthems",0,63,63,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
47,Sports Pump Up Music 2026 | Intense Training & Workout Hype Songs for Athletes and Motivation,0,108,108,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
48,Songs to Model Walk To | Fierce Runway Playlist | Confidence & Catwalk Energy🏋️,0,40,40,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
104,INTENSO Studio per Esami 📚 | Musica per Concentrazione | Playlist Studio,0,38,38,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
105,RAFFINATA Musica Ristorante di Lusso 🥂 | Playlist Cena | Musica di Sottofondo | Atmosfera Elegante,0,55,55,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
106,MÁXIMA Estudiando para Exámenes 📚 | Música Focus | Playlist Estudio | Música Concentración,0,14,14,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
107,ELEGANTE Música Restaurante de Lujo 🥂 | Playlist Cena | Música de Fondo | Ambiente Sofisticado,0,26,26,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
108,WUCHTIGER Laufmusik 180–190 BPM 🔥 Schnelle Songs fürs Running | High Tempo Jogging Playlist,0,335,335,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
109,Running 180 BPM À FOND 🔥 | Musique Rapide pour Sport | Playlist Jogging,0,269,269,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
18,ICONIC Mashup Remix Hits 2026 🔥 – Viral Social Media Sounds,0,60,60,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
19,OBSESSIVE TikTok Mashups 2026 🔥 – Trending Reels Audio,0,3,3,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
52,WILD Ayia Napa Boat Party 🌊 | Mediterranean Summer Energy,0,1,1,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
53,LEGENDARY Dubrovnik Coastal Vibes 🌊 | Adriatic Summer Energy,0,3,3,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
56,VIBRANT Gold Coast Beach Vibes 🌊 | Australia Party Energy,0,3,3,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
58,"LEGENDARY Ushuaïa, Ocean Club & Nikki Beach Vibes | Beach Club Anthems 🌊",0,5,5,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
59,AMAZING Summer BBQ Playlist 🍔 | Backyard Party Vibes,0,9,9,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
61,WEDDING Party Summer 2026 💍 | Crazy Celebration Vibes,0,96,96,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
62,EPIC EDM Summer 2026 Hits 🔥 | 140–150 BPM Festival Energy,0,76,76,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
64,SPLASHY Pool Party 🍹 | Poolside Cocktails & Summer Vibes,0,29,29,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
65,VIBRANT Summer Vacation 🌴 | Summer Trips & #VacationMode,0,23,23,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
148,"Techno Summer Ibiza | Ibiza Techno, Beach Raves, Sunset Club Anthems 2026 ☀️🏝️",0,49,49,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
149,"Beatport Top 100 | Raw Techno, Deep Techno, Hypnotic Techno Charts 2026 🖤🔊",0,113,113,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
393,Cool Down 2026 | Post-Workout Recovery & Relaxed Energy 🌙✨,0,204,204,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
394,WUCHTIGER Laufmusik 180–190 BPM 🔥 Schnelle Songs fürs Running | High Tempo Jogging Playlist,0,61,61,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
110,UNREAL Strength Mix 140-150 BPM 🖤🔥 | Powerlifting Songs & Heavy Lifting,0,100,100,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
111,SCHNELLE Running 150–160 BPM 🔥 Laufmusik 150–160 BPM | Tempo Run Playlist | Cardio Songs,0,292,292,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
113,POTENTE 160–165 Corsa Ritmica 💪 | Musica per Correre 160 BPM | Playlist Tempo Run | Cardio,0,67,67,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
114,MÉGA Running 150–160 BPM 🔥 Musique Running 150–160 BPM | Playlist Tempo Run | Cardio,0,161,161,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
115,ADRENALINE Power Cycling 160 BPM 2026 ⚡ Indoor Spinning Playlist | High-Energy Cardio Music,0,87,87,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
116,ADRENALINICO Mix Ciclismo 2026 🔥 Playlist Spinning Indoor | Musica Cardio Energica,0,116,116,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
117,MAXIMALE Spinning 160 BPM 🔥 Indoor Cycling Playlist | Energieke Cardio Muziek,0,43,43,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
118,KRÄFTIG Cycling Mix 150-160 BPM 🔥 Indoor Spinning Playlist | Energiegeladene Cardio Musik,0,269,269,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
119,KRACHTIG Hardlopen 150–160 BPM 🔥 Running Muziek 150–160 BPM | Tempo Cardio Run Playlist,0,381,381,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
66,BREEZY Summer Hiking 🌿 | Nature Walk Escape Vibes,0,39,39,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
67,BILLIONAIRE Summer 💎 | Alpha Quiet Flex Energy | Luxury Lifestyle,0,31,31,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
68,NONCHALANT Summer Camping 🌄 | Summer Picnic Vibes,0,8,8,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
70,ELITE Summer Vibes 140-150 BPM 🌞 | Summer Anthems Collection,0,13,13,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
71,GLOW UP Energy & #SummerVibes | RADIANT Summer Vibes ✨,0,3,3,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
76,"LAVISH Yacht Party 🛥️ | Boat Party, Tanning & Champagne Vibes",0,17,17,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
395,"Stretching Workout 2026 | Flexibility, Recovery & Cool Down Music 🧘‍♀️✨",0,230,230,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
396,JUMP ROPE 140 BPM 2026 ⏱️ CARDIO BEATS 🔥 WORKOUT HITS,0,206,206,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
400,INTENSE Running Music 170–180 BPM 🔥 Fast Songs for Running | High Tempo Jogging Playlist,0,321,321,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
74,VIBRANT Island Vibes 🌊 | Island Hopping & Boat Life Energy,0,74,74,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
75,"ELITE Villa Weekend 🌴 | Summer Vibes, Pool & BBQ Energy",0,11,11,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
198,AFRO HOUSE 2026 🌴 TEMAZOS 🎶 HITS PARA BAILAR,0,195,195,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
73,AMAPIANO Beach Bar 🌴 | Island Chill & Sunset Vibes | Jamaica,0,15,15,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
122,INSANE Running 150–160 BPM 🔥 150–160 BPM Running Music | Tempo Run Playlist | Cardio Training Songs,0,195,195,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
120,INTENSE Running Music 180–190 BPM 🔥 Fast Songs for Running | High Tempo Jogging Playlist,0,480,480,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
121,INTENSA Running 180–190 BPM 🔥 Música para Correr Rápido | Playlist Jogging,0,855,855,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
123,INTENSE Cours de SPINNING 160 BPM 🔥 Playlist Spinning Indoor | Musique Cardio Énergique,0,66,66,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
124,EXTREME Hardlopen 180–190 BPM 🔥 Snelle Running Muziek | Jogging Playlist,0,181,181,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
125,PAZZESCA Corsa 180–190 BPM 🔥 Musica per Correre Veloce | Playlist Jogging,0,127,127,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
126,BRUTAL Running 150–160 BPM 🔥 Música Running 150–160 BPM | Playlist Tempo Run | Cardio,0,485,485,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
79,ICONIC Wine & Sunshine 🍷 | Summer Beach Drinking Playlist,0,17,17,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
127,BRUTAL 160-170 BPM Ciclismo 2026 🔥 Playlist Spinning Indoor | Música Cardio Energética,0,273,273,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
81,EPIC Summer Shred 150–160 BPM 🔥 | Beach Body Energy Workout,0,20,20,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
77,CRAZY Beach Party 🏖️ | #BeachVibes & Max Rizz Energy ☀️,0,23,23,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
78,SAND In My TOES 👙 | Bikini Season Beach Vibes ☀️,0,11,11,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
80,ICONIC Tanning & Sun-Kissed Vibes ☀️ | Summer Glow Playlist,0,20,20,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
128,10 Hours of Deep Sleep Music | Improve Sleep 2026 🎵💪,0,75,75,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
130,SOOTHING Sleep for Overthinkers 🌙 | Quiet Mind & Deep Sleep Music,0,112,112,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
129,8 Hours of Sleep Music | Deep Rest & Relaxation 2026 🎉😌,0,55,55,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
82,CRAZY Pre-Beach Pump 150–160 BPM 🔥 | Gym Hype & Beach Body Energy,0,20,20,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
87,Amapinao Riddim 2026 | Jamaican Dancehall | African Bashment Party 🔥,0,90,90,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
20,INSANE Viral Mashups 2026 🔥 – TikTok & Instagram Trending Audio,0,36,36,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
21,LEGENDARY Mashup Songs 2026 🔥 – Viral Remix Compilation & Transitions,0,30,30,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
22,INSANE Viral Mashups 2026 🔥 – TikTok Trending Sounds & Remixes,0,12,12,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
23,LENDÁRIAS Mashup Songs 2026 🔥 – Compilação de Remixes Virais & Transições,0,32,32,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
24,CERTIFIED Mashup Transitions 2026 🔥 – Beat Drops & Viral Edits,0,24,24,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
28,WILD TikTok Viral Mashups 2026 🔥 – Trending Sounds & Hype Remixes,0,8,8,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
426,"Clean Girl Shower 2026 | Fresh Vibes, Soft Pop & Clean Aesthetic Music 🚿🤍",0,183,183,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
430,"Gym House 2026 | House Beats for Workout, Fitness & Dance Energy ⚡💃",0,118,118,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
431,"Zumba Beats 2026 | Zumba Workout Music, Dance Fitness & High-Energy Hits 💃🔥",0,117,117,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
432,"Speeding Bangers 2026 | Fast Dance Hits, High BPM & Adrenaline Music 💃⚡",0,125,125,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
440,"UKG & GARAGE 🌴⚡ | Bassline Anthems, Club Bangers, UK Hits🔊",0,60,60,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
29,"WILD TikTok Mashups 2026 🔥 – Sped Up, Slow Reverb & Viral Edits",0,30,30,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
33,"UNREAL Mashup Songs 2026 🔥 – Viral Audio, Remix Drops & Edit Mix",0,20,20,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
